deviceID,datetime,pm25,pm10,aqi,co2,voc,temp,humidity,battery,viral_index
1202240008,19-04-2024 19:05,20,57,57,726,282,30.8,47,5,88
1201240074,19-04-2024 19:05,63,159,139,544,902,30.5,43,5,83
1201240075,19-04-2024 19:06,5,11,11,913,470,22.9,45,5,83
1201240078,19-04-2024 19:06,5,11,11,921,249,22.4,46,3,82
1202240026,19-04-2024 19:06,20,59,59,745,107,25.1,51,5,87
1202240025,19-04-2024 19:06,25,71,71,542,0,26.3,44,5,93
1201240077,19-04-2024 19:06,22,66,66,415,260,32.8,30,4,84
1201240072,19-04-2024 19:06,22,69,69,414,845,33.5,28,5,82
1201240079,19-04-2024 19:06,16,44,44,985,553,30.9,46,5,80
1201240085,19-04-2024 19:06,20,55,55,1077,755,31,46,5,77
1201240076,19-04-2024 19:06,29,81,81,422,242,31.5,39,5,94
1212230160,19-04-2024 19:06,25,66,66,452,613,29.6,42,5,95
1202240009,19-04-2024 19:06,23,66,66,689,302,28.2,49,4,89
1202240008,19-04-2024 19:06,20,57,57,729,313,30.8,47,5,88
1201240074,19-04-2024 19:06,61,158,139,550,932,30.5,43,5,83
1201240075,19-04-2024 19:07,5,11,11,914,462,22.9,45,5,83
1201240078,19-04-2024 19:07,5,11,11,919,247,22.4,46,3,82
1202240026,19-04-2024 19:07,21,62,62,740,108,25.1,51,5,87
1202240025,19-04-2024 19:07,24,69,69,545,0,26.2,44,5,93
1201240072,19-04-2024 19:07,22,69,69,415,835,33.5,28,5,82
1201240079,19-04-2024 19:07,17,49,49,988,550,30.9,46,5,80
1201240085,19-04-2024 19:07,20,49,49,1083,768,31,46,5,77
1201240076,19-04-2024 19:07,32,88,88,426,230,31.5,39,5,93
1212230160,19-04-2024 19:07,27,69,69,456,567,29.6,42,5,94
1202240009,19-04-2024 19:07,21,64,64,718,326,28.3,49,4,88
1202240008,19-04-2024 19:07,20,57,57,760,366,30.9,47,5,87
1202240028,19-04-2024 19:07,20,62,62,406,246,33.5,30,5,84
1202240012,19-04-2024 19:07,20,64,64,403,204,36.6,26,5,79
1202240010,19-04-2024 19:08,18,59,59,411,0,29,35,5,92
1201240078,19-04-2024 19:08,5,11,11,915,249,22.4,46,4,83
1202240026,19-04-2024 19:08,21,59,59,737,110,25.2,51,5,87
1202240025,19-04-2024 19:08,24,66,66,545,0,26.3,44,5,93
1201240077,19-04-2024 19:07,24,74,74,415,262,32.8,30,4,84
1201240072,19-04-2024 19:08,22,66,66,415,837,33.5,28,5,82
1201240079,19-04-2024 19:08,19,49,49,992,561,30.9,46,5,80
1201240085,19-04-2024 19:08,20,49,49,1096,755,31,46,5,77
1201240076,19-04-2024 19:08,33,90,90,427,236,31.5,39,5,92
1212230160,19-04-2024 19:08,25,66,66,449,545,29.6,42,5,95
1202240009,19-04-2024 19:08,22,64,64,734,355,28.4,49,4,87
1202240008,19-04-2024 19:08,21,59,59,798,419,30.8,48,5,86
1201240074,19-04-2024 19:07,71,166,144,552,968,30.5,42,5,81
1202240028,19-04-2024 19:08,20,62,62,401,250,33.5,30,5,84
1202240012,19-04-2024 19:08,20,64,64,400,207,36.6,26,5,79
1202240010,19-04-2024 19:09,18,55,55,411,0,29,35,5,92
1201240075,19-04-2024 19:08,5,11,11,915,474,22.9,45,5,83
1201240078,19-04-2024 19:09,5,16,16,913,248,22.4,46,4,83
1202240026,19-04-2024 19:09,21,59,59,735,103,25.1,51,5,88
1202240025,19-04-2024 19:09,23,66,66,547,0,26.3,44,5,93
1201240077,19-04-2024 19:08,23,71,71,415,252,32.8,30,4,84
1201240079,19-04-2024 19:09,16,44,44,1005,574,30.9,46,5,80
1201240085,19-04-2024 19:09,20,49,49,1093,753,31.1,46,5,77
1201240076,19-04-2024 19:09,34,93,93,426,236,31.5,39,5,92
1212230160,19-04-2024 19:09,27,74,74,453,497,29.6,42,5,94
1202240009,19-04-2024 19:09,21,64,64,754,412,28.5,49,4,87
1202240008,19-04-2024 19:09,22,62,62,846,463,30.9,48,5,84
1201240074,19-04-2024 19:08,82,176,173,557,970,30.5,43,5,78
1202240028,19-04-2024 19:09,18,59,59,400,251,33.4,30,5,84
1202240012,19-04-2024 19:09,20,59,59,400,211,36.7,26,5,79
1202240010,19-04-2024 19:10,18,55,55,410,0,29,35,5,92
1201240075,19-04-2024 19:09,5,11,11,916,453,22.9,45,5,83
1201240078,19-04-2024 19:10,5,11,11,912,251,22.3,46,4,83
1202240026,19-04-2024 19:10,22,62,62,737,107,25.1,51,5,87
1202240025,19-04-2024 19:10,24,66,66,539,0,26.3,44,5,93
1201240077,19-04-2024 19:09,24,71,71,416,255,32.8,30,4,84
1201240072,19-04-2024 19:10,23,71,71,415,863,33.4,28,5,82
1201240079,19-04-2024 19:10,18,49,49,1015,600,30.9,46,5,79
1201240085,19-04-2024 19:10,20,49,49,1099,758,31.1,46,5,77
1201240076,19-04-2024 19:10,36,100,100,422,226,31.5,38,5,91
1212230160,19-04-2024 19:10,29,78,78,469,468,29.6,43,5,93
1202240009,19-04-2024 19:10,20,57,57,784,428,28.5,49,4,86
1202240008,19-04-2024 19:10,20,59,59,878,636,30.9,48,5,83
1201240074,19-04-2024 19:09,89,182,197,560,973,30.5,43,5,76
1202240028,19-04-2024 19:10,20,59,59,412,248,33.5,30,5,84
1202240012,19-04-2024 19:10,20,59,59,401,204,36.7,26,5,79
1202240010,19-04-2024 19:11,18,55,55,414,0,29,35,5,92
1201240075,19-04-2024 19:11,5,11,11,914,469,22.9,45,5,83
1201240078,19-04-2024 19:11,5,11,11,910,251,22.3,46,4,83
1202240026,19-04-2024 19:11,22,64,64,739,105,25.2,51,5,87
1202240025,19-04-2024 19:11,27,76,76,523,0,26.3,44,5,93
1201240077,19-04-2024 19:11,27,81,81,417,267,32.8,30,4,84
1201240072,19-04-2024 19:11,23,71,71,417,858,33.4,29,5,84
1201240079,19-04-2024 19:11,18,49,49,1022,609,30.9,46,5,79
1201240085,19-04-2024 19:11,20,49,49,1112,787,31,46,5,76
1201240076,19-04-2024 19:11,40,107,105,424,210,31.5,39,5,91
1212230160,19-04-2024 19:11,31,85,85,472,438,29.7,43,5,93
1202240009,19-04-2024 19:11,21,59,59,813,483,28.6,49,4,85
1202240008,19-04-2024 19:11,21,57,57,909,578,30.9,48,5,82
1201240074,19-04-2024 19:10,93,186,210,565,977,30.5,43,5,76
1202240028,19-04-2024 19:11,20,62,62,449,249,33.5,30,5,84
1202240012,19-04-2024 19:11,20,62,62,401,194,36.6,27,5,81
1202240010,19-04-2024 19:12,18,49,49,411,0,29,35,5,92
1201240075,19-04-2024 19:12,5,11,11,912,466,22.9,45,5,83
1201240078,19-04-2024 19:12,5,11,11,907,242,22.3,46,4,83
1202240026,19-04-2024 19:12,22,64,64,735,99,25.1,51,5,87
1202240025,19-04-2024 19:12,24,69,69,522,0,26.3,44,5,93
1201240077,19-04-2024 19:12,27,81,81,417,282,32.8,30,4,84
1201240072,19-04-2024 19:12,22,69,69,417,872,33.4,29,5,84
1201240079,19-04-2024 19:12,16,44,44,1030,625,30.9,47,5,79
1201240085,19-04-2024 19:12,20,49,49,1119,850,31.1,46,5,76
1201240076,19-04-2024 19:12,42,114,109,426,223,31.5,39,5,90
1212230160,19-04-2024 19:12,31,83,83,474,421,29.6,43,5,93
1202240009,19-04-2024 19:12,21,62,62,844,561,28.7,49,4,84
1202240008,19-04-2024 19:12,21,57,57,938,639,31,48,5,82
1201240074,19-04-2024 19:11,93,186,210,571,992,30.5,43,5,76
1202240028,19-04-2024 19:12,21,64,64,410,251,33.5,30,5,84
1202240012,19-04-2024 19:12,20,62,62,401,205,36.6,26,5,79
1202240010,19-04-2024 19:13,16,49,49,413,0,29,35,5,92
1201240075,19-04-2024 19:13,4,16,16,907,469,22.9,45,5,83
1201240078,19-04-2024 19:13,5,11,11,906,248,22.2,46,4,83
1202240026,19-04-2024 19:13,21,62,62,732,101,25.1,51,5,88
1202240025,19-04-2024 19:13,25,74,74,528,0,26.3,44,5,93
1201240072,19-04-2024 19:13,22,69,69,420,872,33.4,29,5,84
1201240079,19-04-2024 19:13,16,44,44,1039,615,30.8,47,5,79
1201240085,19-04-2024 19:13,20,49,49,1135,871,31,46,5,76
1201240076,19-04-2024 19:13,44,116,111,428,223,31.5,38,5,89
1212230160,19-04-2024 19:13,33,88,88,477,385,29.7,43,5,92
1202240009,19-04-2024 19:13,21,62,62,873,602,28.8,49,4,83
1202240008,19-04-2024 19:13,23,62,62,957,670,31,49,5,81
1201240074,19-04-2024 19:12,89,183,197,576,1079,30.4,43,5,76
1202240028,19-04-2024 19:13,20,59,59,408,255,33.5,30,5,84
1202240012,19-04-2024 19:13,20,64,64,400,210,36.6,26,5,79
1202240010,19-04-2024 19:14,18,49,49,412,0,29,35,5,92
1201240075,19-04-2024 19:14,5,11,11,929,467,22.9,45,5,82
1201240078,19-04-2024 19:14,5,11,11,905,248,22.2,46,4,83
1202240026,19-04-2024 19:14,22,64,64,727,95,25.1,51,5,88
1202240025,19-04-2024 19:14,25,74,74,535,0,26.3,44,5,93
1201240077,19-04-2024 19:13,26,81,81,419,280,32.8,30,4,84
1201240079,19-04-2024 19:14,20,55,55,1042,636,30.8,47,5,79
1201240085,19-04-2024 19:14,18,49,49,1144,919,31,47,5,75
1201240076,19-04-2024 19:14,42,112,108,436,226,31.5,38,5,90
1212230160,19-04-2024 19:14,34,90,90,491,343,29.6,43,5,92
1202240009,19-04-2024 19:14,21,62,62,898,655,28.8,49,4,83
1202240008,19-04-2024 19:14,22,62,62,976,707,31,49,5,80
1201240074,19-04-2024 19:14,89,183,197,580,1081,30.4,44,5,76
1202240028,19-04-2024 19:14,20,62,62,412,247,33.5,30,5,84
1202240012,19-04-2024 19:14,20,62,62,403,208,36.6,26,5,79
1202240010,19-04-2024 19:15,18,49,49,415,0,29,35,5,92
1201240075,19-04-2024 19:15,4,11,11,909,462,22.9,45,5,83
1201240078,19-04-2024 19:15,5,11,11,900,251,22.2,46,4,83
1202240026,19-04-2024 19:15,21,62,62,725,94,25.1,51,5,88
1202240025,19-04-2024 19:15,25,74,74,542,0,26.2,44,5,93
1201240077,19-04-2024 19:15,27,83,83,417,270,32.8,30,4,84
1201240072,19-04-2024 19:15,23,71,71,417,875,33.4,28,5,82
1201240079,19-04-2024 19:15,18,49,49,1047,653,30.8,47,5,78
1201240085,19-04-2024 19:15,20,49,49,1153,938,31,47,5,75
1201240076,19-04-2024 19:15,41,109,106,432,202,31.5,38,5,90
1212230160,19-04-2024 19:15,35,95,95,489,313,29.6,43,5,91
1202240009,19-04-2024 19:15,23,66,66,921,668,28.9,49,4,82
1202240008,19-04-2024 19:15,23,64,64,977,688,31,48,5,80
1201240074,19-04-2024 19:15,87,180,190,580,1071,30.5,44,5,77
1202240028,19-04-2024 19:15,21,66,66,412,245,33.4,30,5,84
1202240012,19-04-2024 19:15,21,66,66,404,208,36.7,27,5,80
1202240010,19-04-2024 19:16,18,55,55,413,0,29.1,35,5,92
1201240075,19-04-2024 19:16,5,11,11,906,467,22.9,45,5,83
1201240078,19-04-2024 19:16,5,11,11,899,245,22.3,46,4,83
1202240026,19-04-2024 19:16,22,64,64,722,93,25.1,51,5,88
1202240025,19-04-2024 19:16,26,74,74,543,0,26.2,44,5,92
1201240077,19-04-2024 19:16,28,88,88,415,272,32.7,30,4,84
1201240072,19-04-2024 19:16,23,69,69,415,891,33.5,28,5,82
1201240079,19-04-2024 19:16,19,49,49,1051,686,30.9,47,5,78
1201240085,19-04-2024 19:16,18,44,44,1166,980,31,47,5,74
1201240076,19-04-2024 19:16,40,104,103,427,195,31.5,38,5,90
1212230160,19-04-2024 19:16,35,93,93,468,270,29.6,43,5,92
1202240009,19-04-2024 19:16,25,71,71,857,551,28.9,49,4,84
1202240008,19-04-2024 19:16,24,64,64,958,643,31,48,5,81
1201240074,19-04-2024 19:16,89,181,197,583,1090,30.4,44,5,76
1202240028,19-04-2024 19:16,20,64,64,407,250,33.4,30,5,84
1202240012,19-04-2024 19:17,21,64,64,400,201,36.7,26,5,79
1202240010,19-04-2024 19:17,18,55,55,413,0,29,35,5,92
1201240075,19-04-2024 19:17,5,11,11,904,461,22.9,45,5,83
1201240078,19-04-2024 19:17,3,11,11,899,251,22.2,46,4,83
1202240026,19-04-2024 19:17,21,62,62,721,94,25.1,51,5,88
1202240025,19-04-2024 19:17,27,78,78,545,0,26.3,44,5,92
1201240077,19-04-2024 19:17,27,81,81,415,250,32.7,29,4,84
1201240079,19-04-2024 19:17,18,49,49,1059,692,30.8,47,5,78
1201240085,19-04-2024 19:17,20,49,49,1196,1020,31,47,5,73
1201240076,19-04-2024 19:17,40,104,103,423,202,31.5,38,5,90
1212230160,19-04-2024 19:17,37,100,100,459,244,29.6,43,5,91
1202240009,19-04-2024 19:17,26,76,76,789,467,29,48,4,85
1202240008,19-04-2024 19:17,23,64,64,928,597,31,48,5,82
1201240074,19-04-2024 19:17,88,181,193,587,1082,30.4,44,5,76
1202240028,19-04-2024 19:17,20,64,64,410,256,33.5,30,5,84
1202240012,19-04-2024 19:18,22,69,69,403,205,36.7,26,5,79
1202240010,19-04-2024 19:18,16,49,49,416,0,29,35,5,92
1201240075,19-04-2024 19:18,5,11,11,899,450,22.9,45,5,83
1201240078,19-04-2024 19:18,5,11,11,900,245,22.2,46,4,83
1202240026,19-04-2024 19:18,23,66,66,720,90,25.1,51,5,88
1202240025,19-04-2024 19:18,26,76,76,539,0,26.3,44,5,92
1201240077,19-04-2024 19:18,27,83,83,415,254,32.8,29,4,84
1201240072,19-04-2024 19:18,24,74,74,417,905,33.4,28,5,82
1201240079,19-04-2024 19:18,17,44,44,1067,708,30.8,47,5,78
1201240085,19-04-2024 19:18,20,49,49,1232,1083,31,47,5,72
1201240076,19-04-2024 19:18,40,107,105,428,216,31.5,38,5,90
1212230160,19-04-2024 19:18,38,100,100,454,229,29.6,43,5,91
1202240009,19-04-2024 19:18,25,74,74,745,480,29.1,48,4,87
1202240008,19-04-2024 19:18,24,66,66,896,565,31,47,5,83
1201240074,19-04-2024 19:18,85,178,183,590,1098,30.4,44,5,77
1202240028,19-04-2024 19:18,20,62,62,406,255,33.5,30,5,84
1202240012,19-04-2024 19:19,22,71,71,405,200,36.7,26,5,79
1202240010,19-04-2024 19:19,18,55,55,412,0,29,35,5,92
1201240075,19-04-2024 19:19,5,11,11,884,461,22.9,45,5,84
1201240078,19-04-2024 19:19,5,11,11,894,244,22.2,46,4,83
